Altium Designer Pick and Place Locations
D:\Altera_projects\UA3REO-DDC-Transceiver-hristo\Scheme\ALTIUM_DESIGNER\FRONT-UNIT-7\Project Outputs for FRONT-UNIT-7\Pick Place\Pick Place for FRONT-UNIT-7.csv

========================================================================================================================
File Design Information:

Date:       04/03/22
Time:       23:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"S10","PTS645SK50LFS","TopLayer","PTS645SK50LFS","86.5286","10.5750","0","PTS645SK50LFS"
"S9","PTS645SK50LFS","TopLayer","PTS645SK50LFS","186.6000","10.5750","0","PTS645SK50LFS"
"S8","PTS645SK50LFS","TopLayer","PTS645SK50LFS","245.9000","77.0770","0","PTS645SK50LFS"
"S7","PTS645SK50LFS","TopLayer","PTS645SK50LFS","146.5714","10.5750","0","PTS645SK50LFS"
"S6","PTS645SK50LFS","TopLayer","PTS645SK50LFS","66.5143","10.5750","0","PTS645SK50LFS"
"S5","PTS645SK50LFS","TopLayer","PTS645SK50LFS","166.5857","10.5750","0","PTS645SK50LFS"
"S4","PTS645SK50LFS","TopLayer","PTS645SK50LFS","220.8500","77.0770","0","PTS645SK50LFS"
"S3","PTS645SK50LFS","TopLayer","PTS645SK50LFS","126.5571","10.5750","0","PTS645SK50LFS"
"S2","PTS645SK50LFS","TopLayer","PTS645SK50LFS","46.5000","10.5750","0","PTS645SK50LFS"
"R29","4.7k","BottomLayer","RES_0805","179.2224","14.6558","270","RES_0805"
"R28","4.7k","BottomLayer","RES_0805","258.1956","80.2474","180","RES_0805"
"R27","4.7k","BottomLayer","RES_0805","76.2000","13.7160","180","RES_0805"
"R26","4.7k","BottomLayer","RES_0805","136.4234","11.4808","0","RES_0805"
"R24","2k","BottomLayer","RES_0805","176.1224","13.8058","180","RES_0805"
"R23","2k","BottomLayer","RES_0805","234.0656","79.3140","90","RES_0805"
"R22","2k","BottomLayer","RES_0805","57.5818","13.2842","270","RES_0805"
"R21","2k","BottomLayer","RES_0805","136.4234","13.7922","180","RES_0805"
"R20","1k","BottomLayer","RES_0805","172.9724","14.6558","90","RES_0805"
"R19","1k","BottomLayer","RES_0805","231.4656","79.3140","270","RES_0805"
"R18","1k","BottomLayer","RES_0805","54.9068","13.2576","90","RES_0805"
"R17","1k","BottomLayer","RES_0805","116.2812","13.7160","180","RES_0805"
"R16","4.7k","BottomLayer","RES_0805","37.2110","17.5514","270","RES_0805"
"R15","4.7k","BottomLayer","RES_0805","39.1668","17.5514","270","RES_0805"
"R14","4.7k","BottomLayer","RES_0805","35.2552","17.5514","270","RES_0805"
"R13","4.7k","BottomLayer","RES_0805","41.1226","17.5514","270","RES_0805"
"R12","PTV09A-4030F-A102","TopLayer","PTV09","220.8350","100.6100","0","Adjustable Resistor PTV09"
"R11","PTV09A-4030F-A102","TopLayer","PTV09","271.0100","100.6100","0","Adjustable Resistor PTV09"
"R10","15k 1%","BottomLayer","RES_0805","77.9249","105.6132","270","RES_0805"
"R9","4.7k 1%","BottomLayer","RES_0805","74.8261","108.6104","0","RES_0805"
"ENC1","PEC12","TopLayer","PEC12","245.8600","104.4275","0","PEC12"
"C31","10nF","BottomLayer","CAP_0805","242.8494","72.1360","270","CAP_0805"
"C30","10nF","BottomLayer","CAP_0805","248.8946","72.1360","270","CAP_0805"
"C29","100nF","BottomLayer","CAP_0805","248.5750","108.2347","90","CAP_0805"
"C28","100nF","BottomLayer","CAP_0805","243.4082","108.2294","90","CAP_0805"
"C7","120pF","BottomLayer","CAP_1206","43.5737","123.3678","90","CAP_1206"
"C6","470pF","BottomLayer","CAP_1206","45.8534","123.3678","90","CAP_1206"
"C5","1nF","BottomLayer","CAP_1206","48.1330","123.3678","90","CAP_1206"
"C4","100nF","BottomLayer","CAP_1206","41.2941","123.3678","90","CAP_1206"
"C3","1uF","BottomLayer","CAP_1206","39.0144","123.3678","90","CAP_1206"
"C25","100nF","BottomLayer","CAP_0805","75.3087","100.3300","0","CAP_0805"
"C21","100nF","BottomLayer","CAP_0805","63.2437","104.8766","270","CAP_0805"
