refdes,pin,voltage,current
J4,6,0.000159991,0.0042865
J4,MP2,0.000124969,0.0042925
J4,MP1,0.000269231,0.00426777
U5,16,3.29877,-0.00199728
U5,14,3.29895,-0.00200089
U5,13,3.29896,-0.00200092
U5,12,3.29895,-0.0020009
U5,8,0.000303344,0.00200054
U5,9,0.000378591,0.00199903
U5,2,0.000290952,0.00200079
U5,15,0.000348126,0.00199964
U11,139,3.29678,-0.00525409
U11,130,3.2967,-0.00525116
U11,122,3.29668,-0.00525007
U11,117,3.29667,-0.00524998
U11,93,3.29664,-0.00524875
U11,81,3.29665,-0.00524918
U11,62,3.29665,-0.00524912
U11,56,3.29666,-0.00524933
U11,47,3.29666,-0.00524936
U11,40,3.29666,-0.00524923
U11,26,3.29667,-0.0052497
U11,17,3.29668,-0.00525006
U11,138,1.20531,-0.0222242
U11,134,1.20534,-0.0222304
U11,124,1.20517,-0.0221962
U11,116,1.20497,-0.0221571
U11,109,1.2048,-0.0221245
U11,102,1.20499,-0.0221622
U11,84,1.20501,-0.0221656
U11,78,1.20508,-0.0221799
U11,73,1.20505,-0.0221727
U11,70,1.20512,-0.0221874
U11,61,1.20532,-0.0222267
U11,45,1.20556,-0.022274
U11,38,1.20563,-0.0222891
U11,37,1.20562,-0.0222865
U11,34,1.20569,-0.0223001
U11,29,1.20574,-0.0223091
U11,5,1.20547,-0.0222556
U11,1,1.20548,-0.022259
XG1,6,3.30099,-0.0650001
XG1,3,0.00173494,0.0650001
XG2,4,3.30124,-0.0650001
XG2,2,0.00187552,0.0650001
U6,22,3.29959,-0.0109827
U6,32,3.29964,-0.0109858
U6,34,3.29963,-0.0109856
U6,45,3.30012,-0.0110227
U6,46,3.30013,-0.0110232
U6,pdna_pin_49_1,0.00124026,0.0162617
U6,24,0.00100017,0.01634898
U6,31,0.00134509,0.01622361
U6,33,0.00135928,0.016218530000000002
U6,20,0.0012771,0.01624839
U6,19,0.0012771,0.01624839
U6,pdna_pin_49_2,0.0,0.0
U6,2,0.00127731,0.01624827
U6,1,0.00127824,0.0162479
U6,37,0.00130275,0.01623904
U6,38,0.00129265,0.01624271
U6,44,0.00131286,0.01623537
U6,41,0.00130764,0.01623726
U6,21,1.80247,-0.0465852
U6,47,1.80289,-0.0467074
U6,48,1.80289,-0.0467074
U2,1,3.30127,-0.0505007
U2,5,3.30113,-0.0504382
U2,6,3.30112,-0.0504347
U2,15,3.29944,-0.0496985
U2,16,3.29946,-0.0497076
U2,17,3.29944,-0.0496977
U2,32,3.29947,-0.0497115
U2,49,3.29986,-0.0498828
U2,62,3.29996,-0.0499292
U2,pdna_pin_65_1,0.00187391,0.04093
U2,2,0.00193618,0.0409027
U2,4,0.00194873,0.0408973
U2,7,0.00192033,0.0409097
U2,10,0.0019209,0.0409094
U2,11,0.00191955,0.04091
U2,14,0.00192003,0.0409098
U2,18,0.00188588,0.0409248
U2,31,0.00197715,0.0408848
U2,50,0.00190899,0.0409146
U2,61,0.00192486,0.0409077
U2,pdna_pin_65_2,0.0,0.0
U3,10,3.29994,-0.0350146
U3,3,3.29984,-0.0349882
U3,1,3.29987,-0.0349971
U3,pdna_pin_17_1,0.00183239,0.0262517
U3,12,0.00183405,0.0262512
U3,pdna_pin_17_2,0.0,0.0
U3,9,0.00183475,0.026251
U3,4,0.00185266,0.026246
U13,1,4.99624,-0.17254999999999998
U13,2,4.99624,-0.17254999999999998
U13,3,0.000173961,4.99826e-05
U13,6,0.000104543,5.00174e-05
U15,3,4.98784,-0.4402
U15,1,0.0016382,0.0001
U16,3,2.5012,-0.4001
U16,1,0.000622245,0.0001
L3,1,4.98913,-0.1301
U4,2,0.00174826,0.0001
U7,3,4.99413,-0.09759999999999999
U7,1,4.99413,-0.09759999999999999
U7,2,0.000862269,0.0001
U8,3,3.29988,-0.07005
U8,1,3.29988,-0.07005
U8,2,0.00149628,0.0001
U1,1,4.98743,-0.27755
U1,2,4.98743,-0.27755
U1,3,0.00179331,4.99981e-05
U1,6,0.00178563,5.00019e-05
U12,1,13.2019,-0.371149
U12,2,13.2018,-0.371026
U13,4,3.30014,0.345
U15,4,2.50164,0.4401
U16,4,1.20754,0.4
U4,5,3.30175,0.13
U7,5,3.30086,0.1951
U8,5,1.80335,0.14
C1,1,3.30179,0.555
C75,2,13.2993,-1.0000000000287557e-06
C74,2,13.2028,0.742175
